gene,log2FC,pvalue,adjusted_pvalue
GREM1,1.1263780063349795,2.5804241419604918e-05,0.0007630022734912655
GRIPAP1,1.0307184491456487,0.0014413466362235648,0.010592738185488278
GRK1,1.0561433045305975,0.0006816432058699761,0.007511722125467545
GS1-279B7.1,1.0628288754726,0.00037161642410804617,0.005160083943290703
GS1-600G8.3,1.0362394322694253,0.0034833949392101713,0.01619273260286374
GSK3A,1.0013803949244913,0.0007261769154631095,0.00781578603855304
GSTM1,-1.4575022397218371,3.005162912539397e-08,5.973317800322522e-06
GSTM2,-1.5260052213595416,5.24265432976531e-09,1.691876300240287e-06
GSTP1,-1.4754266371693936,2.6015833376192275e-06,0.0001481384337100052
GTF3C1,1.0153849159203299,1.425924468286689e-05,0.0004921273402043465
GUCA2B,1.0187639831115092,0.0003446363297185553,0.004915819328948987
GUCY1A1,1.3307403520744852,1.558545792915287e-05,0.000521954797761505
GUF1,1.044088046484371,6.251673476583782e-06,0.000275009578938164
H2AC25,1.6240401511317495,3.572172157697666e-08,6.726650851692614e-06
H2AC7,1.0380515067967226,2.6004422195894054e-06,0.0001481384337100052
H2BC12,1.1261888500244066,5.337725564153794e-07,4.6333505245133544e-05
H3C10,1.0487845766764927,4.429356158347856e-06,0.00021415537984516538
HACD1,-1.1788029661581745,0.0003208221973251423,0.004662673200977779
HAPSTR2,1.0307276629364464,0.001201845275940362,0.009805500511325036
HDHD3,-1.0002507815966752,0.0010664804629828277,0.009321330714313965
HENMT1,1.0101131293394416,4.067444512112417e-06,0.00020258893582718622
